"","title","Author","Affiliation","Country","Zone","paper_zone","paper_country","Year","Journal","journals_2","field","bio_monet","main_method","biodiv_objective","partial_general","...16","biodiv_measure","biodiv_direct","biodiv_functional_historical","biodiv_indicator_level","biodiv_indicator_use","biodiv_proxy","...23","species_2","species","biodiv_type","ess_binary","ess_type","ess_measure","paper_empirical","method_static","method_resolution","method_spatial","spatial_ecology","spatial_economy","positive_normative","comments","affiliation_class","FLAG","keywords","keywords2","ecological_model","stoch_ecol","stoch_econ","habitat2","biodiv_type2","id_unique_author","last_names_author"
"543","Developing a production possibility set of wildlife species persistence and timber harvest value","Jeffrey L. Arthur","Department of Statistics, Oregon State University,","USA","North America","North America","USA",2002,"Canadian Journal of Forest Research","Ecology","Ecology","No","Cost_eff","Constraint","Partial",NA,NA,"Indirectly","Functional","Population","Evolution of services and functions","Habitat",NA,"Single species","Single","Animal - Mammalia - Rodentia - Squirrel",0,"0","0","Empirical","Dynamic","Numerical",NA,"Explicit","Absent","Positive","Probability of persistence for population model","Ecology and Economics",NA,"Conservation","Conservation","Other","Yes","No","Forest","Common",52,"arthur"
"544","Developing a production possibility set of wildlife species persistence and timber harvest value","Darek J Nalle",". Department of Applied Economics and Statistics","USA","North America","North America","USA",2002,"Canadian Journal of Forest Research","Ecology","Ecology","No","Cost_eff","Constraint","Partial",NA,NA,"Indirectly","Functional","Population","Evolution of services and functions","Habitat",NA,"Single species","Single","Animal - Mammalia - Rodentia - Squirrel",0,"0","0","Empirical","Dynamic","Numerical",NA,"Explicit","Absent","Positive","Probability of persistence for population model","Ecology and Economics",NA,"Conservation","Conservation","Other","Yes","No","Forest","Common",51,"nalle"
"545","International trade, species diversity, and habitat conservation","Sjak Smulders","Department of Economics and CentER, Tilburg University","Netherlands","Europe","Europe","Netherlands",2004,"Journal of Environmental Economics and Management","Economics","Economics","Yes","CBA","Objective","Partial",NA,NA,"Directly","Functional","Population","Evolution of services and functions","No",NA,"Single species","Single","Not specified",0,"0","0","Theoretical","Dynamic","Closed form",NA,"Absent","Explicit","Normative","Static model because analyse the steady state dynamic of the resource / can be conservation or other","Economics (full, applied, agricultural, environmental, ecological)",NA,"Extinction","Extinction","Population dynamics","No","No","Multiple : urban, agricultural and reserve","Common",347,"smulders"
"546","International trade, species diversity, and habitat conservation","Daan van Soest","Department of Economics and CentER, Tilburg University","Netherlands","Europe","Europe","Netherlands",2004,"Journal of Environmental Economics and Management","Economics","Economics","Yes","CBA","Objective","Partial",NA,NA,"Directly","Functional","Population","Evolution of services and functions","No",NA,"Single species","Single","Not specified",0,"0","0","Theoretical","Dynamic","Closed form",NA,"Absent","Explicit","Normative","Static model because analyse the steady state dynamic of the resource / can be conservation or other","Economics (full, applied, agricultural, environmental, ecological)",NA,"Extinction","Extinction","Population dynamics","No","No","Multiple : urban, agricultural and reserve","Common",348,"soest"
"547","International trade, species diversity, and habitat conservation","Cees A. Withagen","Department of Economics, Vrije Universiteit and Tinbergen Institute","Netherlands","Europe","Europe","Netherlands",2004,"Journal of Environmental Economics and Management","Economics","Economics","Yes","CBA","Objective","Partial",NA,NA,"Directly","Functional","Population","Evolution of services and functions","No",NA,"Single species","Single","Not specified",0,"0","0","Theoretical","Dynamic","Closed form",NA,"Absent","Explicit","Normative","Static model because analyse the steady state dynamic of the resource / can be conservation or other","Economics (full, applied, agricultural, environmental, ecological)",NA,"Extinction","Extinction","Population dynamics","No","No","Multiple : urban, agricultural and reserve","Common",78,"withagen"
"548","The Economics of Protecting Tiger Populations: Linking Household Behaviour to Poaching and Prey Depletion","Richard Damania","School of Economics, University of Adelaid","Australia","Oceania","Mixed : North America & Oceania","Australia & USA",2001,"Land Economics","Economics","Economics","Yes","CBA","Objective","Partial",NA,NA,"Directly","Functional","Population","Evolution of services and functions","No",NA,"Single species","Single","Animal - Mammalia - Carnivora - Tiger",0,"0","0","Theoretical","Static","Both",NA,"Absent","Absent","Normative","Can be extinction and conservation as well / age-structured","Ecology and Economics",NA,"Extinction","Extinction","Population dynamics","No","Yes","Wilderness","remarkable_endangered",349,"damania"
"549","The Economics of Protecting Tiger Populations: Linking Household Behaviour to Poaching and Prey Depletion","Randy Stringer","School of Economics, University of Adelaid","Australia","Oceania","Mixed : North America & Oceania","Australia & USA",2001,"Land Economics","Economics","Economics","Yes","CBA","Objective","Partial",NA,NA,"Directly","Functional","Population","Evolution of services and functions","No",NA,"Single species","Single","Animal - Mammalia - Carnivora - Tiger",0,"0","0","Theoretical","Static","Both",NA,"Absent","Absent","Normative","Can be extinction and conservation as well / age-structured","Ecology and Economics",NA,"Extinction","Extinction","Population dynamics","No","Yes","Wilderness","remarkable_endangered",350,"stringer"
"550","The Economics of Protecting Tiger Populations: Linking Household Behaviour to Poaching and Prey Depletion","K. Ullas Karanth","Wildlife Conservation Society, International Programs, Bronx","USA","Oceania","Mixed : North America & Oceania","Australia & USA",2001,"Land Economics","Economics","Economics","Yes","CBA","Objective","Partial",NA,NA,"Directly","Functional","Population","Evolution of services and functions","No",NA,"Single species","Single","Animal - Mammalia - Carnivora - Tiger",0,"0","0","Theoretical","Static","Both",NA,"Absent","Absent","Normative","Can be extinction and conservation as well / age-structured","Ecology and Economics",NA,"Extinction","Extinction","Population dynamics","No","Yes","Wilderness","remarkable_endangered",351,"karanth"
"551","The Economics of Protecting Tiger Populations: Linking Household Behaviour to Poaching and Prey Depletion","Brad Stith","U.S. Geological Survey, Florida Caribbean Science Center","USA","Oceania","Mixed : North America & Oceania","Australia & USA",2001,"Land Economics","Economics","Economics","Yes","CBA","Objective","Partial",NA,NA,"Directly","Functional","Population","Evolution of services and functions","No",NA,"Single species","Single","Animal - Mammalia - Carnivora - Tiger",0,"0","0","Theoretical","Static","Both",NA,"Absent","Absent","Normative","Can be extinction and conservation as well / age-structured","Ecology and Economics",NA,"Extinction","Extinction","Population dynamics","No","Yes","Wilderness","remarkable_endangered",352,"stith"
"552","On trade, land-use, and biodiversity","Stephen Polasky","Department of Applied Economics, University of Minnesota","USA","North America","North America","USA",2004,"Journal of Environmental Economics and Management","Economics","Economics","Yes","CBA","Objective","Partial",NA,NA,"Indirectly","Functional","Species","Evolution of services and functions","Habitat",NA,"Multiple species (explicit)","Multiple","Not specified",0,"0","0","Theoretical","Static","Closed form",NA,"Absent","Explicit","Normative",NA,"Economics (full, applied, agricultural, environmental, ecological)",NA,"Extinction","Extinction","Other","No","No","Multiple : urban, agricultural and reserve","Common",44,"polasky"
"553","On trade, land-use, and biodiversity","Christopher Costello","Donald Bren School of Environmental Science and Management, UC Santa Barbara","USA","North America","North America","USA",2004,"Journal of Environmental Economics and Management","Economics","Economics","Yes","CBA","Objective","Partial",NA,NA,"Indirectly","Functional","Species","Evolution of services and functions","Habitat",NA,"Multiple species (explicit)","Multiple","Not specified",0,"0","0","Theoretical","Static","Closed form",NA,"Absent","Explicit","Normative",NA,"Economics (full, applied, agricultural, environmental, ecological)",NA,"Extinction","Extinction","Other","No","No","Multiple : urban, agricultural and reserve","Common",54,"costello"
"554","On trade, land-use, and biodiversity","Carol McAusland","Department of Economics and Donald Bren School of Environmental Science and Managemen","USA","North America","North America","USA",2004,"Journal of Environmental Economics and Management","Economics","Economics","Yes","CBA","Objective","Partial",NA,NA,"Indirectly","Functional","Species","Evolution of services and functions","Habitat",NA,"Multiple species (explicit)","Multiple","Not specified",0,"0","0","Theoretical","Static","Closed form",NA,"Absent","Explicit","Normative",NA,"Economics (full, applied, agricultural, environmental, ecological)",NA,"Extinction","Extinction","Other","No","No","Multiple : urban, agricultural and reserve","Common",353,"mcausland"
"555","Comparing Extinction Risk and Economic Cost in Wildlife Conservation Planning","Robert Haight","USDA Forest Service, North Central Forest Experiment Station, 1992 Folwell Avenue, Saint Paul, Minnesota 55108 USA","USA","North America","North America","USA",1995,"Ecological Applications","Ecology","Ecology","No","Cost_eff","Constraint","Partial",NA,NA,"Directly","Functional","Population","Evolution of services and functions","No",NA,"Single species","Single","Forest & Animal",0,"0","0","Theoretical & empirical","Dynamic","Numerical",NA,"Explicit","Absent","Normative","Exploiting forest with viability constraints on the wildlife","Ecology (full, zoology, fisheries and wildlife, forestry)",NA,"Conservation","Conservation","Population dynamics","Yes","No","Forest","remarkable_endangered",228,"haight"
"556","Exploring Strategies for Improving the Cost Effectiveness of Endangered Species Management:
The Kirtland's Warbler as a Case Study","Elizabeth A. Marshall","Department of Agricultural economics and Rural Sociology
at Pennsylvania State University","USA","North America","North America","USA",2000,"Land Economics","Economics","Economics","No","Cost_eff","Constraint","Partial",NA,NA,"Directly","Functional","Population","Evolution of services and functions","No",NA,"Single species","Single","Animal - Aves - not known - Kirtlands Warbler",0,"0","0","Empirical","Dynamic","Numerical",NA,"Implicit","Absent","Normative",NA,"Ecology and Economics",NA,"Conservation","Conservation","Population dynamics","Yes","No","Forest","remarkable_endangered",354,"marshall"
"557","Exploring Strategies for Improving the Cost Effectiveness of Endangered Species Management:
The Kirtland's Warbler as a Case Study","Frances Homans","Department of Applied
Economics at the University of Minnesota","USA","North America","North America","USA",2000,"Land Economics","Economics","Economics","No","Cost_eff","Constraint","Partial",NA,NA,"Directly","Functional","Population","Evolution of services and functions","No",NA,"Single species","Single","Animal - Aves - not known - Kirtlands Warbler",0,"0","0","Empirical","Dynamic","Numerical",NA,"Implicit","Absent","Normative",NA,"Ecology and Economics",NA,"Conservation","Conservation","Population dynamics","Yes","No","Forest","remarkable_endangered",229,"homans"
"558","Exploring Strategies for Improving the Cost Effectiveness of Endangered Species Management:
The Kirtland's Warbler as a Case Study","Robert Haight","USDA Forest Service, North Central Forest Experiment Station, 1992 Folwell Avenue, Saint Paul, Minnesota 55108 USA","USA","North America","North America","USA",2000,"Land Economics","Economics","Economics","No","Cost_eff","Constraint","Partial",NA,NA,"Directly","Functional","Population","Evolution of services and functions","No",NA,"Single species","Single","Animal - Aves - not known - Kirtlands Warbler",0,"0","0","Empirical","Dynamic","Numerical",NA,"Implicit","Absent","Normative",NA,"Ecology and Economics",NA,"Conservation","Conservation","Population dynamics","Yes","No","Forest","remarkable_endangered",228,"haight"
"559","Optimal investment in multi-species protection when species interact in an ecosystem","Stefan Baumgärtner","Department of Economics, University of Heidelberg, Germany","Germany","Europe","Europe","Germany",2004,"EcoHealth","Sustainable Science","Sustainable Science","Yes","Cost_eff","Objective","Partial",NA,NA,"Directly","Functional","Population","Evolution of services and functions","No",NA,"Multiple species (explicit)","Multiple","Not specified",1,"1","1","Theoretical","Static","Closed form",NA,"Absent","Absent","Normative",NA,"Economics (full, applied, agricultural, environmental, ecological)",NA,"Ecosystem","Ecosystem","Other","Yes","No","Not applicable","Not applicable",10,"baumgärtner"
"560","A Cost–Benefit Approach for Prioritizing Invasive Species","Pierre Courtois","CEEM, INRA, CNRS, SupAgro, Montpellier Univ., Montpellier, France","France","Europe","Mixed : America Europe","France & USA",2018,"Ecological Economics","Economics","Economics","Yes","CBA","Objective","Partial",NA,NA,"Directly","Functional and genetic","Population","Evolution of services and functions","No",NA,"Multiple species (explicit)","Multiple","Not specified",1,"1","1","Theoretical","Static","Both",NA,"Absent","Absent","Normative",NA,"Ecology and Economics",NA,"Extinction","Invasive_species_infectious_disease","Other","Yes","No","Wilderness","Invasive_species",319,"courtois"
"561","A Cost–Benefit Approach for Prioritizing Invasive Species","Charles Figuières","Aix-Marseille Univ., CNRS, EHESS, Centrale Marseille, AMSE, Marseilles, France","France","Europe","Mixed : America Europe","France & USA",2018,"Ecological Economics","Economics","Economics","Yes","CBA","Objective","Partial",NA,NA,"Directly","Functional and genetic","Population","Evolution of services and functions","No",NA,"Multiple species (explicit)","Multiple","Not specified",1,"1","1","Theoretical","Static","Both",NA,"Absent","Absent","Normative",NA,"Ecology and Economics",NA,"Extinction","Invasive_species_infectious_disease","Other","Yes","No","Wilderness","Invasive_species",320,"figuières"
"562","A Cost–Benefit Approach for Prioritizing Invasive Species","Chloe Mullier","Innovation, SupAgro, INRA, CIRAD, Montpellier Univ., Montpellier, France","France","Europe","Mixed : America Europe","France & USA",2018,"Ecological Economics","Economics","Economics","Yes","CBA","Objective","Partial",NA,NA,"Directly","Functional and genetic","Population","Evolution of services and functions","No",NA,"Multiple species (explicit)","Multiple","Not specified",1,"1","1","Theoretical","Static","Both",NA,"Absent","Absent","Normative",NA,"Ecology and Economics",NA,"Extinction","Invasive_species_infectious_disease","Other","Yes","No","Wilderness","Invasive_species",321,"mullier"
"563","A Cost–Benefit Approach for Prioritizing Invasive Species","Joakim Weill","Dept. of Agricultural and Resource Economics, University of California, Davis, United States","USA","Europe","Mixed : America Europe","France & USA",2018,"Ecological Economics","Economics","Economics","Yes","CBA","Objective","Partial",NA,NA,"Directly","Functional and genetic","Population","Evolution of services and functions","No",NA,"Multiple species (explicit)","Multiple","Not specified",1,"1","1","Theoretical","Static","Both",NA,"Absent","Absent","Normative",NA,"Ecology and Economics",NA,"Extinction","Invasive_species_infectious_disease","Other","Yes","No","Wilderness","Invasive_species",355,"weill"
"564","Conservation Priorities when Species Interact: The Noah's Ark Metaphor Revisited","Pierre Courtois","CEEM, INRA, CNRS, SupAgro, Montpellier Univ., Montpellier, France","France","Europe","Europe","France",2014,"PLoS One","Sustainable science","Sustainable science","Yes","Cost_eff","Objective","Partial",NA,NA,"Directly","Functional and genetic","Population","Evolution of services and functions","No",NA,"Multiple species (explicit)","Multiple","Not specified",0,"0","0","Theoretical","Static","Closed form",NA,"Absent","Absent","Normative",NA,"Ecology and Economics",NA,"Conservation","Conservation","Other","Yes","No","Not applicable","Not applicable",319,"courtois"
"565","Conservation Priorities when Species Interact: The Noah's Ark Metaphor Revisited","Charles Figuières","Aix-Marseille Univ., CNRS, EHESS, Centrale Marseille, AMSE, Marseilles, France","France","Europe","Europe","France",2014,"PLoS One","Sustainable science","Sustainable science","Yes","Cost_eff","Objective","Partial",NA,NA,"Directly","Functional and genetic","Population","Evolution of services and functions","No",NA,"Multiple species (explicit)","Multiple","Not specified",0,"0","0","Theoretical","Static","Closed form",NA,"Absent","Absent","Normative",NA,"Ecology and Economics",NA,"Conservation","Conservation","Other","Yes","No","Not applicable","Not applicable",320,"figuières"
"566","Conservation Priorities when Species Interact: The Noah's Ark Metaphor Revisited","Chloe Mullier","Innovation, SupAgro, INRA, CIRAD, Montpellier Univ., Montpellier, France","France","Europe","Europe","France",2014,"PLoS One","Sustainable science","Sustainable science","Yes","Cost_eff","Objective","Partial",NA,NA,"Directly","Functional and genetic","Population","Evolution of services and functions","No",NA,"Multiple species (explicit)","Multiple","Not specified",0,"0","0","Theoretical","Static","Closed form",NA,"Absent","Absent","Normative",NA,"Ecology and Economics",NA,"Conservation","Conservation","Other","Yes","No","Not applicable","Not applicable",321,"mullier"
"567","On the measurement of biological diversity","Andrew Solow","Woods Hole Oceanographic Insitution","USA","North America","North America","USA",1993,"Journal of Environmental Economics and Management","Economics","Economics","No","Cost_eff","Objective","Partial",NA,NA,"Directly","Genetic","Population","Evolution of services and functions","No",NA,"Multiple species (explicit)","Multiple","Animal - Aves - Gruiformes - Cranes",0,"0","0","Theoretical & empirical","Static","Numerical",NA,"Absent","Absent","Normative",NA,"Ecology and Economics",NA,"Conservation","Conservation","Other","Yes","No","Park_reserve","remarkable_endangered",356,"solow"
"568","On the measurement of biological diversity","Stephen Polasky","Department of Economics, Boston College","USA","North America","North America","USA",1993,"Journal of Environmental Economics and Management","Economics","Economics","No","Cost_eff","Objective","Partial",NA,NA,"Directly","Genetic","Population","Evolution of services and functions","No",NA,"Multiple species (explicit)","Multiple","Animal - Aves - Gruiformes - Cranes",0,"0","0","Theoretical & empirical","Static","Numerical",NA,"Absent","Absent","Normative",NA,"Ecology and Economics",NA,"Conservation","Conservation","Other","Yes","No","Park_reserve","remarkable_endangered",44,"polasky"
"569","On the measurement of biological diversity","James Broadus","Woods Hole Oceanographic Insitution","USA","North America","North America","USA",1993,"Journal of Environmental Economics and Management","Economics","Economics","No","Cost_eff","Objective","Partial",NA,NA,"Directly","Genetic","Population","Evolution of services and functions","No",NA,"Multiple species (explicit)","Multiple","Animal - Aves - Gruiformes - Cranes",0,"0","0","Theoretical & empirical","Static","Numerical",NA,"Absent","Absent","Normative",NA,"Ecology and Economics",NA,"Conservation","Conservation","Other","Yes","No","Park_reserve","remarkable_endangered",357,"broadus"
"570","Allocating conservation expenditures: accounting for inter-species genetic distinctiveness","Mark E. Eiswerth","Woods Hole Oceanographic Insitution","USA","North America","North America","USA",1992,"Ecological Economics","Economics","Economics","No","CBA","Objective","Partial",NA,NA,"Directly","Genetic","Species","Evolution of services and functions","No",NA,"Multiple species (explicit)","Multiple","Animal - Aves - Gruiformes - Cranes",0,"0","0","Theoretical & empirical","Static","Both",NA,"Implicit","Absent","Normative",NA,"Ecology (full, zoology, fisheries and wildlife, forestry)",NA,"Conservation","Conservation","Other","No","No","Park_reserve","remarkable_endangered",231,"eiswerth"
"571","Allocating conservation expenditures: accounting for inter-species genetic distinctiveness","J. Christopher Haney","Woods Hole Oceanographic Insitution","USA","North America","North America","USA",1992,"Ecological Economics","Economics","Economics","No","CBA","Objective","Partial",NA,NA,"Directly","Genetic","Species","Evolution of services and functions","No",NA,"Multiple species (explicit)","Multiple","Animal - Aves - Gruiformes - Cranes",0,"0","0","Theoretical & empirical","Static","Both",NA,"Implicit","Absent","Normative",NA,"Ecology (full, zoology, fisheries and wildlife, forestry)",NA,"Conservation","Conservation","Other","No","No","Park_reserve","remarkable_endangered",358,"haney"
"572","Optimal weed control under static and dynamic decision rules","JunJie Wu","Department of Agricultural and Resource Economics, Oregon State University","USA","North America","North America","USA",2001,"Agricultural Economics","Economics","Economics","Yes","CBA","Objective","Partial",NA,NA,"Directly","Functional","Population","Evolution of services and functions","No",NA,"Single species","Single","Plant - not known - not known - Weed",0,"0","0","Theoretical & empirical","Static & dynamic","Both",NA,"Absent","Absent","Normative","Seed bank dispersal / invasive species / herbicide use for weed removal","Economics (full, applied, agricultural, environmental, ecological)",NA,"Extinction","Invasive_species_infectious_disease","Population dynamics","No","No","Agriculture","Invasive_species",359,"wu"
"573","Range Management under Uncertainty","Larry Karp","ARE Berkeley","USA","North America","North America","USA",1984,"American Journal of Agricultural Economics","Economics","Economics","Yes","CBA","Objective","Partial",NA,NA,"Directly","Functional","Population","Evolution of services and functions","No",NA,"Single species","Single","Animal - Mammalia - not known - livestock",0,"0","0","Theoretical & empirical","Dynamic","Numerical",NA,"Absent","Absent","Normative","Optimal rangeland with enhancing treatment / choice of stocking per year","Economics (full, applied, agricultural, environmental, ecological)",NA,"Extinction","Extinction","Other","Yes","Yes","Agriculture","Common",360,"karp"
"574","Range Management under Uncertainty","Arden III Pope","Brigham Young University","USA","North America","North America","USA",1984,"American Journal of Agricultural Economics","Economics","Economics","Yes","CBA","Objective","Partial",NA,NA,"Directly","Functional","Population","Evolution of services and functions","No",NA,"Single species","Single","Animal - Mammalia - not known - livestock",0,"0","0","Theoretical & empirical","Dynamic","Numerical",NA,"Absent","Absent","Normative","Optimal rangeland with enhancing treatment / choice of stocking per year / harvesting","Economics (full, applied, agricultural, environmental, ecological)",NA,"Extinction","Extinction","Other","Yes","Yes","Agriculture","Common",361,"pope"
"575","Pest as a common property resource : a case study of alfalfa weevil control","Uri Regev","Economics, Ben Gurion University,","Israel","Asia","Mixed : Asia America","Israel & USA",1976,"American Journal of Agricultural Economics","Economics","Economics","Yes","CBA","Objective","Partial",NA,NA,"Directly","Functional","Population","Evolution of services and functions","No",NA,"Single species","Single","Animal - Insecta - Coleoptera - Alfalfa Weevil",0,"0","0","Theoretical & empirical","Dynamic","Both",NA,"Absent","Absent","Normative","Life history model with larvae, adult ie age-structured","Ecology and Economics",NA,"Extinction","Invasive_species_infectious_disease","Population dynamics","No","No","Agriculture","Invasive_species",362,"regev"
"576","Pest as a common property resource : a case study of alfalfa weevil control","Andrew P. Gutierrez","entomology at the University of California, Davis","USA","USA","Mixed : Asia America","Israel & USA",1976,"American Journal of Agricultural Economics","Economics","Economics","Yes","CBA","Objective","Partial",NA,NA,"Directly","Functional","Population","Evolution of services and functions","No",NA,"Single species","Single","Animal - Insecta - Coleoptera - Alfalfa Weevil",0,"0","0","Theoretical & empirical","Dynamic","Both",NA,"Absent","Absent","Normative","Life history model with larvae, adult ie age-structured","Ecology and Economics",NA,"Extinction","Invasive_species_infectious_disease","Population dynamics","No","No","Agriculture","Invasive_species",363,"gutierrez"
"577","Pest as a common property resource : a case study of alfalfa weevil control","Gershon Feder","economist in the Development Research Center at the International Bank for Reconstruction and Development, Washington","USA","USA","Mixed : Asia America","Israel & USA",1976,"American Journal of Agricultural Economics","Economics","Economics","Yes","CBA","Objective","Partial",NA,NA,"Directly","Functional","Population","Evolution of services and functions","No",NA,"Single species","Single","Animal - Insecta - Coleoptera - Alfalfa Weevil",0,"0","0","Theoretical & empirical","Dynamic","Both",NA,"Absent","Absent","Normative","Life history model with larvae, adult ie age-structured","Ecology and Economics",NA,"Extinction","Invasive_species_infectious_disease","Population dynamics","No","No","Agriculture","Invasive_species",364,"feder"
"578","Optimal harvesting of a plant-herbivore system : lichen and reindeer in Finland","M. Virtala","Department of Applied Mathematics and Statistics, Uni~,ersity of Oulu","Finland","Europe","Europe","Finland",1992,"Ecological Modelling","Ecology","Ecology","Yes","CBA","Objective","Partial",NA,NA,"Directly","Functional","Population","Evolution of services and functions","No",NA,"Multiple species (explicit)","Multiple","Animal - Mammalia - Artiodactyla - Reindeer & lichen",0,"0","0","Theoretical","Dynamic","Closed form",NA,"Absent","Absent","Normative",NA,"Mathematics",NA,"Extinction","Extinction","Population dynamics","No","No","Wilderness","remarkable_endangered",198,"virtala"
"579",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"580",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"581","Optimal Timing of Multiple Applications of Pesticides with Residual Toxicity","Christine A. Shoemaker","Department of Environmental Engineering, Cornell University, Ithaca, New York 14853, U.S.A","USA","North America","North America","USA",1979,"Biometrics","Mathematics","Mathematics","Yes","CBA","Objective","Partial",NA,NA,"Directly","Functional","Population","Evolution of services and functions","No",NA,"Single species","Single","Animal - Insecta - Coleoptera - Alfalfa weevil",0,"0","0","Theoretical & empirical","Dynamic","Both",NA,"Absent","Absent","Normative","Invasive species, Optimal pesticide use for pest","Sustainable sciences (environmental science, engineering)",NA,"Extinction","Invasive_species_infectious_disease","Population dynamics","No","No","Agriculture","Invasive_species",304,"shoemaker"
"582","Optimal Pesticide Application for Controlling the Boll Weevil on Cotton","H. Talpaz","Agricultural econ, Agricultural Research Organization. Israel;","USA","North America","North America","USA",1978,"American Journal of Agricultural Economics","Economics","Economics","Yes","CBA","Objective","Partial",NA,NA,"Directly","Functional","Population","Evolution of services and functions","No",NA,"Multiple species (explicit)","Multiple","Plant - not known - not known - cotton & Animal - Insecta - Coleoptera - Boll weevil",0,"0","0","Theoretical & empirical","Dynamic","Numerical",NA,"Absent","Absent","Normative","Invasive species, Optimal pesticide use for pest, not sure about population","Sustainable sciences (environmental science, engineering) & Economics",NA,"Extinction","Invasive_species_infectious_disease","Population dynamics","Yes","No","Agriculture","Invasive_species",366,"talpaz"
"583","Optimal Pesticide Application for Controlling the Boll Weevil on Cotton","G. L. Curry","bioengineering at Texas A&M university","USA","North America","North America","USA",1978,"American Journal of Agricultural Economics","Economics","Economics","Yes","CBA","Objective","Partial",NA,NA,"Directly","Functional","Population","Evolution of services and functions","No",NA,"Multiple species (explicit)","Multiple","Plant - not known - not known - cotton & Animal - Insecta - Coleoptera - Boll weevil",0,"0","0","Theoretical & empirical","Dynamic","Numerical",NA,"Absent","Absent","Normative","Invasive species, Optimal pesticide use for pest","Sustainable sciences (environmental science, engineering) & Economics",NA,"Extinction","Invasive_species_infectious_disease","Population dynamics","Yes","No","Agriculture","Invasive_species",367,"curry"
"584","Optimal Pesticide Application for Controlling the Boll Weevil on Cotton","P.J. Sharpe","bioengineering at Texas A&M university","USA","North America","North America","USA",1978,"American Journal of Agricultural Economics","Economics","Economics","Yes","CBA","Objective","Partial",NA,NA,"Directly","Functional","Population","Evolution of services and functions","No",NA,"Multiple species (explicit)","Multiple","Plant - not known - not known - cotton & Animal - Insecta - Coleoptera - Boll weevil",0,"0","0","Theoretical & empirical","Dynamic","Numerical",NA,"Absent","Absent","Normative","Invasive species, Optimal pesticide use for pest","Sustainable sciences (environmental science, engineering) & Economics",NA,"Extinction","Invasive_species_infectious_disease","Population dynamics","Yes","No","Agriculture","Invasive_species",368,"sharpe"
"585","Optimal Pesticide Application for Controlling the Boll Weevil on Cotton","D.W. deMichele","bioengineering at Texas A&M university","USA","North America","North America","USA",1978,"American Journal of Agricultural Economics","Economics","Economics","Yes","CBA","Objective","Partial",NA,NA,"Directly","Functional","Population","Evolution of services and functions","No",NA,"Multiple species (explicit)","Multiple","Plant - not known - not known - cotton & Animal - Insecta - Coleoptera - Boll weevil",0,"0","0","Theoretical & empirical","Dynamic","Numerical",NA,"Absent","Absent","Normative","Invasive species, Optimal pesticide use for pest","Sustainable sciences (environmental science, engineering) & Economics",NA,"Extinction","Invasive_species_infectious_disease","Population dynamics","Yes","No","Agriculture","Invasive_species",369,"demichele"
"586","Optimal Pesticide Application for Controlling the Boll Weevil on Cotton","R.E. Frisbie","Entomology Texas A&M university","USA","North America","North America","USA",1978,"American Journal of Agricultural Economics","Economics","Economics","Yes","CBA","Objective","Partial",NA,NA,"Directly","Functional","Population","Evolution of services and functions","No",NA,"Multiple species (explicit)","Multiple","Plant - not known - not known - cotton & Animal - Insecta - Coleoptera - Boll weevil",0,"0","0","Theoretical & empirical","Dynamic","Numerical",NA,"Absent","Absent","Normative","Invasive species, Optimal pesticide use for pest","Sustainable sciences (environmental science, engineering) & Economics",NA,"Extinction","Invasive_species_infectious_disease","Population dynamics","Yes","No","Agriculture","Invasive_species",370,"frisbie"
"587","Optimal harvesting policy for a stochastic predator–prey model","Meng Liu","School of Mathematical Science, Huaiyin Normal University, Huaian","China","Asia","Asia","China",2014,"Applied Mathematics Letters","Mathematics","Mathematics","Yes","CBA","Objective","Partial",NA,NA,"Directly","Functional","Population","Evolution of services and functions","No",NA,"Multiple species (explicit)","Multiple","Not specified",0,"0","0","Theoretical","Dynamic","Closed form",NA,"Absent","Absent","Normative","Biomass / harvesting of predator prey system","Mathematics",NA,"Extinction","Extinction","Population dynamics","Yes","No","Not applicable","Not applicable",371,"liu"
"588","Optimal harvesting policy for a stochastic predator–prey model","Chuanzhi Bai","School of Mathematical Science, Huaiyin Normal University, Huaian","China","Asia","Asia","China",2014,"Applied Mathematics Letters","Mathematics","Mathematics","Yes","CBA","Objective","Partial",NA,NA,"Directly","Functional","Population","Evolution of services and functions","No",NA,"Multiple species (explicit)","Multiple","Not specified",0,"0","0","Theoretical","Dynamic","Closed form",NA,"Absent","Absent","Normative","Biomass / harvesting of predator prey system","Mathematics",NA,"Extinction","Extinction","Population dynamics","Yes","No","Not applicable","Not applicable",372,"bai"
